"idcategoria";"idanimal";"nombre";"caparazon";"cola";"comestible";"cuernos";"dientes";"domestico";"escamas";"gran tamaño";"huevos";"patas";"pelos";"plumas";"predador";"pulmones";"vertebrado";"venenoso";"idalimentacion";"identorno";"idhabitat";"idterminacion";"Path"
"5";44;"Gallina";0;1;1;0;0;1;0;0;1;2;0;1;0;1;1;0;3;3;1;1;"huevos > 0.500"
"2";45;"Gato domestico";0;1;0;0;1;1;0;0;0;4;1;0;1;1;1;0;1;3;4;1;"huevos ≤ 0.500 & predador > 0.500 & patas > 2 & gran tamaño ≤ 0.500"
"2";46;"Gato Salvaje";0;1;0;0;1;0;0;1;0;4;1;0;1;1;1;0;1;3;3;1;"huevos ≤ 0.500 & predador > 0.500 & patas > 2 & gran tamaño > 0.500 & idanimal ≤ 63.500"
"1";48;"Girafa";0;1;0;1;1;0;0;1;0;4;1;0;0;1;1;0;3;3;3;2;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion > 1.500"
"1";49;"Gorila";0;0;0;0;1;0;0;1;0;2;1;0;0;1;1;0;3;3;3;1;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion ≤ 1.500 & idanimal ≤ 64 & gran tamaño > 0.500"
"5";50;"Gorrion";0;1;0;0;0;1;0;0;1;2;0;1;0;1;1;0;3;1;2;1;"huevos > 0.500"
"5";52;"Gusano";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;3;3;3;"huevos > 0.500"
"3";54;"hamster";0;1;0;0;1;1;0;0;0;4;1;0;0;1;1;0;3;3;2;1;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion ≤ 1.500 & idanimal ≤ 64 & gran tamaño ≤ 0.500 & idanimal ≤ 55 & comestible ≤ 0.500"
"4";56;"koala";0;1;0;0;1;0;0;0;0;2;1;0;0;1;1;0;3;3;3;1;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion ≤ 1.500 & idanimal ≤ 64 & gran tamaño ≤ 0.500 & idanimal > 55"
"5";57;"Langosta";1;1;1;0;0;0;0;0;1;6;0;0;1;0;0;0;1;2;3;3;"huevos > 0.500"
"5";58;"Lenguado";0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;3;2;3;3;"huevos > 0.500"
"1";60;"Leon Marino";0;1;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;2;3;3;"huevos ≤ 0.500 & predador > 0.500 & patas ≤ 2"
"2";61;"Leopardo";0;1;0;0;1;0;0;1;0;4;1;0;1;1;1;0;1;3;3;1;"huevos ≤ 0.500 & predador > 0.500 & patas > 2 & gran tamaño > 0.500 & idanimal ≤ 63.500"
"3";62;"Liebre";0;1;1;0;1;0;0;0;0;4;1;0;0;1;1;0;3;3;4;1;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion ≤ 1.500 & idanimal ≤ 64 & gran tamaño ≤ 0.500 & idanimal > 55"
"2";63;"Lince";0;1;0;0;1;0;0;1;0;4;1;0;1;1;1;0;1;3;3;1;"huevos ≤ 0.500 & predador > 0.500 & patas > 2 & gran tamaño > 0.500 & idanimal ≤ 63.500"
"1";64;"Lobo";0;1;0;0;1;0;0;1;0;4;1;0;1;1;1;0;1;3;3;1;"huevos ≤ 0.500 & predador > 0.500 & patas > 2 & gran tamaño > 0.500 & idanimal > 63.500"
"1";66;"Mangosta";0;1;0;0;1;0;0;0;0;4;1;0;0;1;1;0;1;3;3;1;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion ≤ 1.500 & idanimal > 64"
"1";67;"Mapache";0;1;0;0;1;0;0;0;0;4;1;0;0;1;1;0;1;3;2;1;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion ≤ 1.500 & idanimal > 64"
"5";68;"Mariquita";1;0;0;0;0;0;0;0;1;6;0;0;0;1;0;0;3;1;3;3;"huevos > 0.500"
"1";69;"Marsopa";0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;1;2;3;3;"huevos ≤ 0.500 & predador > 0.500 & patas ≤ 2"
"5";71;"Mosquito";0;0;0;0;0;0;0;0;1;6;0;0;0;1;0;0;3;1;4;3;"huevos > 0.500"
"5";73;"Ñandu";0;1;0;0;0;0;0;1;1;2;0;1;0;1;1;0;3;3;3;1;"huevos > 0.500"
"1";74;"Orix";0;1;0;1;1;0;0;1;0;4;1;0;0;1;1;0;3;3;3;2;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion > 1.500"
"1";75;"Ornitorrinco";0;1;0;0;0;0;0;0;1;4;1;0;1;1;1;1;1;2;3;1;"huevos > 0.500"
"1";76;"Oso";0;0;0;0;1;0;0;1;0;4;1;0;1;1;1;0;1;3;3;1;"huevos ≤ 0.500 & predador > 0.500 & patas > 2 & gran tamaño > 0.500 & idanimal > 63.500"
"1";77;"Oso hormiguero";0;1;0;0;1;0;0;1;0;4;1;0;0;1;1;0;2;3;3;1;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion ≤ 1.500 & idanimal > 64"
"1";78;"Oveja";0;1;1;0;1;1;0;0;0;4;1;0;0;1;1;0;3;3;1;2;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion > 1.500"
"5";79;"Pagalo grande";0;1;0;0;0;0;0;0;1;2;0;1;1;1;1;0;1;2;3;1;"huevos > 0.500"
"5";80;"Paloma";0;1;0;0;0;1;0;0;1;2;0;1;0;1;1;0;3;1;2;1;"huevos > 0.500"
"5";81;"Pato";0;1;1;0;0;1;0;0;1;2;0;1;0;1;1;0;3;2;1;3;"huevos > 0.500"
"1";83;"Perro";0;1;0;0;1;1;0;0;0;4;1;0;0;1;1;0;2;3;4;1;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion ≤ 1.500 & idanimal > 64"
"5";84;"Pez Gato";0;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;3;2;3;3;"huevos > 0.500"
"5";89;"pulga";0;0;0;0;0;0;0;0;1;6;0;0;0;1;0;0;3;3;3;3;"huevos > 0.500"
"5";90;"Pulpo";0;0;1;0;0;0;0;1;1;8;0;0;1;0;0;0;3;2;3;3;"huevos > 0.500"
"2";91;"puma";0;1;0;0;1;0;0;1;0;4;1;0;1;1;1;0;1;3;3;1;"huevos ≤ 0.500 & predador > 0.500 & patas > 2 & gran tamaño > 0.500 & idanimal > 63.500"
"5";92;"rana";0;0;0;0;1;0;1;0;1;4;0;0;0;1;1;0;3;2;3;1;"huevos > 0.500"
"5";93;"Raya";0;1;0;0;1;0;1;1;1;0;0;0;1;0;1;1;1;2;3;3;"huevos > 0.500"
"5";94;"Rayador";0;1;0;0;0;0;0;0;1;2;0;1;1;1;1;0;3;2;3;3;"huevos > 0.500"
"5";96;"Reyezuelo";0;1;0;0;0;0;0;0;1;2;0;1;0;1;1;0;3;1;3;1;"huevos > 0.500"
"5";97;"Robalo";0;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;3;2;3;3;"huevos > 0.500"
"5";98;"Sapo";0;0;0;0;1;0;1;0;1;4;0;0;0;1;1;0;3;2;1;1;"huevos > 0.500"
"5";99;"Serpiente de Mar";0;1;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;2;3;3;"huevos > 0.500"
"1";101;"Ternero";0;1;1;0;1;1;0;1;0;4;1;0;0;1;1;0;3;3;1;2;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion > 1.500"
"5";102;"Tiburón";0;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;1;2;3;3;"huevos > 0.500"
"1";103;"Topo";0;1;0;0;1;0;0;0;0;4;1;0;0;1;1;0;3;3;3;1;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion ≤ 1.500 & idanimal > 64"
"5";104;"Tortuga";1;1;0;0;0;1;1;1;1;4;0;0;0;1;1;0;3;3;2;1;"huevos > 0.500"
"5";105;"Triton";0;1;0;0;1;0;1;0;1;4;0;0;0;1;1;0;3;2;3;1;"huevos > 0.500"
"1";107;"Turon";0;1;0;0;1;1;0;0;0;4;1;0;1;1;1;0;1;3;3;1;"huevos ≤ 0.500 & predador > 0.500 & patas > 2 & gran tamaño ≤ 0.500"
"1";108;"Vaca";0;1;1;0;1;1;0;1;0;4;1;0;0;1;1;0;3;3;1;2;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion > 1.500"
"1";109;"Vampiro";0;1;0;0;1;0;0;0;0;2;1;0;0;1;1;0;1;1;3;3;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion > 1.500"
"1";110;"Verraco";0;1;1;0;1;1;0;0;0;4;1;0;0;1;1;0;3;3;1;2;"huevos ≤ 0.500 & predador ≤ 0.500 & idterminacion > 1.500"
"5";111;"araña";0;0;0;0;0;0;0;0;1;8;1;0;1;1;0;1;1;3;3;3;"huevos > 0.500"
